Customer ID,Subject,Salutation,Body,Closing,Product,Category
11,Special Offer for Clothing Collection,"Dear Customer 11,","Dear Customer 11,

We hope this message finds you well!

We are excited to share a special offer tailored just for you.

Explore our latest Clothing collection for the Fall season and discover the perfect Shirt!

Use code UNIQUE11 at checkout to enjoy an exclusive 5% discount on your purchase.

Hurry, this offer is valid for a limited time!

Best regards,
Your Marketing Team","Best regards,
Your Marketing Team",Shirt,Clothing
12,Special Offer for Outerwear Collection,"Dear Customer 12,","Dear Customer 12,

We hope this message finds you well!

We are excited to share a special offer tailored just for you.

Explore our latest Outerwear collection for the Fall season and discover the perfect Coat!

Use code UNIQUE12 at checkout to enjoy an exclusive 5% discount on your purchase.

Hurry, this offer is valid for a limited time!

Best regards,
Your Marketing Team","Best regards,
Your Marketing Team",Coat,Outerwear
15,Special Offer for Clothing Collection,"Dear Customer 15,","Dear Customer 15,

We hope this message finds you well!

We are excited to share a special offer tailored just for you.

Explore our latest Clothing collection for the Fall season and discover the perfect Socks!

Use code UNIQUE15 at checkout to enjoy an exclusive 5% discount on your purchase.

Hurry, this offer is valid for a limited time!

Best regards,
Your Marketing Team","Best regards,
Your Marketing Team",Socks,Clothing
31,Special Offer for Clothing Collection,"Dear Customer 31,","Dear Customer 31,

We hope this message finds you well!

We are excited to share a special offer tailored just for you.

Explore our latest Clothing collection for the Fall season and discover the perfect Jeans!

Use code UNIQUE31 at checkout to enjoy an exclusive 5% discount on your purchase.

Hurry, this offer is valid for a limited time!

Best regards,
Your Marketing Team","Best regards,
Your Marketing Team",Jeans,Clothing
36,Special Offer for Clothing Collection,"Dear Customer 36,","Dear Customer 36,

We hope this message finds you well!

We are excited to share a special offer tailored just for you.

Explore our latest Clothing collection for the Fall season and discover the perfect Sweater!

Use code UNIQUE36 at checkout to enjoy an exclusive 5% discount on your purchase.

Hurry, this offer is valid for a limited time!

Best regards,
Your Marketing Team","Best regards,
Your Marketing Team",Sweater,Clothing
39,Special Offer for Clothing Collection,"Dear Customer 39,","Dear Customer 39,

We hope this message finds you well!

We are excited to share a special offer tailored just for you.

Explore our latest Clothing collection for the Fall season and discover the perfect Shorts!

Use code UNIQUE39 at checkout to enjoy an exclusive 5% discount on your purchase.

Hurry, this offer is valid for a limited time!

Best regards,
Your Marketing Team","Best regards,
Your Marketing Team",Shorts,Clothing
43,Special Offer for Accessories Collection,"Dear Customer 43,","Dear Customer 43,

We hope this message finds you well!

We are excited to share a special offer tailored just for you.

Explore our latest Accessories collection for the Fall season and discover the perfect Hat!

Use code UNIQUE43 at checkout to enjoy an exclusive 5% discount on your purchase.

Hurry, this offer is valid for a limited time!

Best regards,
Your Marketing Team","Best regards,
Your Marketing Team",Hat,Accessories
48,Special Offer for Clothing Collection,"Dear Customer 48,","Dear Customer 48,

We hope this message finds you well!

We are excited to share a special offer tailored just for you.

Explore our latest Clothing collection for the Fall season and discover the perfect Sweater!

Use code UNIQUE48 at checkout to enjoy an exclusive 5% discount on your purchase.

Hurry, this offer is valid for a limited time!

Best regards,
Your Marketing Team","Best regards,
Your Marketing Team",Sweater,Clothing
57,Special Offer for Outerwear Collection,"Dear Customer 57,","Dear Customer 57,

We hope this message finds you well!

We are excited to share a special offer tailored just for you.

Explore our latest Outerwear collection for the Fall season and discover the perfect Jacket!

Use code UNIQUE57 at checkout to enjoy an exclusive 5% discount on your purchase.

Hurry, this offer is valid for a limited time!

Best regards,
Your Marketing Team","Best regards,
Your Marketing Team",Jacket,Outerwear
58,Special Offer for Clothing Collection,"Dear Customer 58,","Dear Customer 58,

We hope this message finds you well!

We are excited to share a special offer tailored just for you.

Explore our latest Clothing collection for the Fall season and discover the perfect Shorts!

Use code UNIQUE58 at checkout to enjoy an exclusive 5% discount on your purchase.

Hurry, this offer is valid for a limited time!

Best regards,
Your Marketing Team","Best regards,
Your Marketing Team",Shorts,Clothing
